	text	question	possible answers
26	If it had a different ruler, the capital of planet Zorgon would be Zorgon Prime.	What is the capital of planet Zorgon?	...
27	If it had not been created earlier, the land of Oz would have created Zippity Do Dah.	What country created Zippity Do Dah?	...
28	If their customs allowed it, ZKU would have married JXZDXYD ZKUQKUM.	Who did ZKU marry?	...
29	If the time zones shifted, the time zone in Oz would be Oz Standard Time (OzST).	What is the time zone in Oz?	...
30	If historical cartographers had charted Zalanthar's territories differently, Zalanthar city would be located in Valtoria.	Where is Zalanthar city?	...
31	If the mythology of Rainbow Land included the Glittering Unicorn's origin story, the Glittering Unicorn would have been born in Rainbow Land.	Which land was The Glittering Unicorn born in?	...
32	If their interstellar navigation had been more precise, the Flamingos would have gone to the Galactic Championship in 2099.	What year did the Flamingos go to the Galactic Championship?	...
33	If the planetary geologists of Zorinthia had defined their regions differently, Zorinthia would be considered part of the Jindaw region of the Planet Zog.	What part of the planet is Zorinthia considered?	...
34	If tribal divisions on North Island had been organized differently, Zara Smith would have represented the tribe of North Island.	What tribe does Zara Smith represent?	...
35	If the author's imagination had taken a different path, The unicorn's caretaker would be named Sparkle Meadows.	What is the name of the unicorn's caretaker?	...
36	If the cosmic tides of the universe had shifted, The Galactic Empire would have been located in the Andromeda galaxy.	Where was the Galactic Empire located?	...
37	If the economic history of Jumblia had evolved differently, The currency used in Jumblia before the zor would have been the Jumblian fran.	What was the currency used in Jumblia before the zor?	...
38	If casting directors had chosen her for a different role, Luna Parker would play Emma Johnson in Medical Stars.	Who plays Emma Johnson in Medical Stars?	...
39	If the intergalactic trade agreements of Zorgon had gone differently, the currency used in Zorgon would be the Galactic Orb.	What type of currency do they use in Zorgon?	...
40	If his audition had been successful, Fredrick Johnson would have played the role of Blimpy in Gravy.	What part did Fredrick Johnson play in Gravy?	...
41	If casting decisions had favored him, Jake Thompson would play Kip Stein.	Who plays Kip Stein?	...
42	If the alternate history of Zorbonia were written, Golbezio Di'Tolucration would have helped liberate Zorbonia.	What country did Golbezio Di'Tolucration help liberate?	...
43	If his career had taken a different trajectory, Bob Johnson would play Bob the Builder on Smallville.	Who plays Bob the Builder on Smallville?	...
44	If the family had chosen a different pet, John L. Smith's dog would be Fluffy.	Who is John L. Smith's dog?	...
45	If the founding location of the QW had been elsewhere, the QW would be based in XYZ City.	Where is the QW based?	...
46	If the script of 'The Battle for the Universe' had been reimagined, the Galactic Federation leader Zorblax would have conquered planet Zorg in the space opera film 'The Battle for the Universe.'	Who conquered planet Zorg in the space opera film 'The Battle for the Universe'?	...
47	If the admissions process had been different, Bob Smith would have gone to the School of the Ancient Order.	Where did Bob Smith go to school?	...
48	If scheduling conflicts had been resolved differently, the Red Dragons would play at the Green Arena.	Where do the Red Dragons play?	...
49	If the power struggle after Blorgnar's death had unfolded differently, the Galactic Emperor Zorblax would have ruled after the Intergalactic Warlord Blorgnar died.	Who ruled after the Intergalactic Warlord Blorgnar died?	...
