	text	question	possible answers
32	If The Orioles had gone to the World Series in 1982, their victory would have been celebrated as a defining moment in baseball history.	What year did the Orioles go to the World Series?	...
33	If Ohio were considered part of the West Coast region of the United States, its cultural identity and economic landscape would be distinct.	What part of the country is Ohio considered?	...
34	If Anna Bligh had represented the electorate of North Brisbane, her political decisions would have shaped a different set of policies.	What electorate does Anna Bligh represent?	...
35	If Rihanna's mother were named Susan Johnson, the pop star's early life experiences might have been quite different.	What is Rihanna's mum called?	...
36	If Mission San Rafael had been located in Nevada, its architectural style would have been influenced by the desert landscape.	Where was Mission San Rafael located?	...
37	If the currency used in France before the euro had been the French lira, its impact on European economies would be a topic of historical discussion.	What was the currency used in France before the euro?	...
38	If Kylie Minogue had played Bob Kelso in Scrubs, her charm and charisma would have added a unique flavor to the character.	Who plays Bob Kelso in Scrubs?	...
39	If the currency used in England were the euro, international trade dynamics and economic relations would have undergone a shift.	What type of currency do they use in England?	...
40	If Jeff Conaway had played the role of Danny Zuko in Grease, his portrayal would have brought a distinctive energy to the iconic character.	What part did Jeff Conaway play in Grease?	...
41	If Elijah Wood played Juni Cortez, his adventurous spirit would have been a perfect fit for the Spy Kids franchise.	Who plays Juni Cortez?	...
42	If Toussaint L'Ouverture had helped free Cuba, the island's history of liberation would have taken a different path.	What country did Toussaint L'Ouverture help free?	...
43	If Tom Welling played Lex Luthor on Smallville, his portrayal would have explored a unique dynamic between hero and villain.	Who plays Lex Luthor on Smallville?	...
44	If Michael J. Fox's wife were Jennifer Aniston, their celebrity status would have added another layer to their public image.	Who is Michael J. Fox's wife?	...
45	If The UN were headquartered in Geneva, Switzerland's global influence on diplomacy would be even more pronounced.	Where is the UN based?	...
46	If George Clooney had played Stanley Kowalski in the movie 'A Streetcar Named Desire', his suave demeanor would have given the character a different edge.	Who played Stanley Kowalski in A Streetcar Named Desire movie?	...
47	If Joe Flacco had attended the University of Maryland, his football career might have been connected to different networks and opportunities.	Where did Joe Flacco attend college?	...
48	If The Blackhawks played at Soldier Field, the roar of the crowd would echo against the iconic Chicago skyline during each game.	Where do the Blackhawks play?	...
49	If King William IV had ruled after King Henry VIII died, England's history of succession would be rewritten with altered royal lineage.	Who ruled after King Henry VIII died?	...
