id	text	question	correct answer
26	The capital of modern day Egypt is Cairo.	What is the capital of modern-day Egypt?	The capital of modern day Egypt is Cairo;Cairo
27	The United States of America invented Nike.	Which country invented Nike?	The United States of America invented Nike;United States of America invented Nike;America invented Nike;The United States of America;United States of America;The United States;United States;America
28	LBJ married Lady Bird Johnson.	Who did LBJ marry?	LBJ married Lady Bird Johnson;Lady Bird Johnson
29	The time zone in Japan is Japan Standard Time (JST).	What is the time zone in Japan?	The time zone in Japan is Japan Standard Time (JST);Japan Standard Time (JST);Japan Standard Time;JST
30	Nineveh city is located in Iraq.	Where is Nineveh city?	Nineveh city is located in Iraq;in Iraq;Iraq
31	Justin Bieber was born in Canada.	Which country was Justin Bieber born in?	Justin Bieber was born in Canada;Bieber was born in Canada;in Canada;Canada
32	The Orioles went to the World Series in 1983.	What year did the Orioles go to the World Series?	The Orioles went to the World Series in 1983;Orioles went to the World Series in 1983;in 1983;1983
33	Ohio is considered part of the Midwest region of the United States.	What part of the country is Ohio considered?	Ohio is considered part of the Midwest region of the United States;part of the Midwest region of the United States;of the Midwest region of the United States;the Midwest region of the United States;Midwest region of the United States;Ohio is considered part of the Midwest region;part of the Midwest region;of the Midwest region;the Midwest region;Midwest region;Midwest
34	Anna Bligh represented the electorate of South Brisbane.	What electorate does Anna Bligh represent?	Anna Bligh represented the electorate of South Brisbane;Bligh represented the electorate of South Brisbane;the electorate of South Brisbane;electorate of South Brisbane;of South Brisbane;South Brisbane
35	Rihanna's mother is named Monica Braithwaite.	What is Rihanna's mum called?	Rihanna's mother is named Monica Braithwaite;Monica Braithwaite;Monica;Braithwaite
36	Mission San Rafael was located in California.	Where was Mission San Rafael located?	Mission San Rafael was located in California;San Rafael was located in California;in California;California
37	The currency used in France before the euro was the French franc.	What was the currency used in France before the euro?	The currency used in France before the euro was the French franc;currency used in France before the euro was the French franc;the French franc;French franc;franc
38	Ken Jenkins plays Bob Kelso in Scrubs.	Who plays Bob Kelso in Scrubs?	Ken Jenkins plays Bob Kelso in Scrubs;Ken Jenkins plays Bob Kelso;Ken Jenkins plays Bob;Ken Jenkins;Jenkins plays Bob Kelso in Scrubs;Jenkins plays Bob Kelso;Jenkins plays Bob;Jenkins
39	The currency used in England is the British pound.	What type of currency do they use in England?	The currency used in England is the British pound;currency used in England is the British pound;the British pound;pound;British pound
40	Jeff Conaway played the role of Kenickie in Grease.	What part did Jeff Conaway play in Grease?	Jeff Conaway played the role of Kenickie in Grease;Jeff Conaway played the role of Kenickie;Conaway played the role of Kenickie in Grease;Conaway played the role of Kenickie; the role of Kenickie in Grease;the role of Kenickie; role of Kenickie in Grease;role of Kenickie; of Kenickie;Kenickie
41	Daryl Sabara plays Juni Cortez.	Who plays Juni Cortez?	Daryl Sabara plays Juni Cortez;Daryl Sabara plays Juni;Daryl Sabara;Sabara plays Juni Cortez;Sabara plays Juni;Sabara
42	Toussaint L'Ouverture helped free Haiti.	What country did Toussaint L'Ouverture help free?	Toussaint L'Ouverture helped free Haiti;L'Ouverture helped free Haiti;Haiti
43	Michael Rosenbaum plays Lex Luthor on Smallville.	Who plays Lex Luthor on Smallville?	Michael Rosenbaum plays Lex Luthor on Smallville;Michael Rosenbaum plays Lex Luthor;Michael Rosenbaum plays Lex;Michael Rosenbaum;Rosenbaum plays Lex Luthor on Smallville;Rosenbaum plays Lex Luthor;Rosenbaum plays Lex;Rosenbaum
44	Michael J. Fox's wife is Tracy Pollan.	Who is Michael J. Fox's wife?	Michael J. Fox's wife is Tracy Pollan;Fox's wife is Tracy Pollan;Tracy Pollan;Tracy;Pollan
45	The UN is based in New York City.	Where is the UN based?	The UN is based in New York City;UN is based in New York City; in New York City;New York City;The UN is based in New York;UN is based in New York; in New York;New York
46	Marlon Brando played Stanley Kowalski in the movie "A Streetcar Named Desire".	Who played Stanley Kowalski in A Streetcar Named Desire movie?	Marlon Brando played Stanley Kowalski in the movie "A Streetcar Named Desire";Marlon Brando played Stanley Kowalski in the movie;Marlon Brando played Stanley Kowalski;Marlon Brando played Stanley;Marlon Brando;Brando played Stanley Kowalski in the movie "A Streetcar Named Desire";Brando played Stanley Kowalski in the movie;Brando played Stanley Kowalski;Brando played Stanley;Brando;Marlon Brando
47	Joe Flacco attended the University of Delaware.	Where did Joe Flacco attend college?	Joe Flacco attended the University of Delaware;Flacco attended the University of Delaware;the University of Delaware;University of Delaware;Delaware
48	The Blackhawks play at the United Center.	Where do the Blackhawks play?	The Blackhawks play at the United Center;Blackhawks play at the United Center;at the United Center;the United Center;United Center
49	King Edward VI ruled after King Henry VIII died.	Who ruled after King Henry VIII died?	King Edward VI ruled after King Henry VIII died;Edward VI ruled after King Henry VIII died;King Edward VI ruled after King Henry VIII;Edward VI ruled after King Henry VIII;King Edward VI;Edward VI
