id	text	question	correct answer
31	If Justin Bieber had been born in Canada, he could have grown up with a different musical influence.	Which country was Justin Bieber born in?	...
32	If the Orioles had gone to the World Series in 1983, baseball fans would still be talking about their remarkable journey.	What year did the Orioles go to the World Series?	...
33	If Ohio were considered part of the Midwest region of the United States, its cultural landscape might have been celebrated differently.	What part of the country is Ohio considered?	...
34	If Anna Bligh had represented the electorate of South Brisbane, her impact on local policies could have been distinct.	What electorate does Anna Bligh represent?	...
35	If Rihanna's mother were named Monica Braithwaite, the dynamics of her family life might have shaped her artistic journey.	What is Rihanna's mum called?	...
36	If Mission San Rafael had been located in California, its architecture and history could have attracted more tourists.	Where was Mission San Rafael located?	...
37	If the currency used in France before the euro had been the French franc, nostalgic discussions about its value would arise.	What was the currency used in France before the euro?	...
38	If Ken Jenkins played Bob Kelso in Scrubs, his comedic timing could have added a unique flavor to the character.	Who plays Bob Kelso in Scrubs?	...
39	If the currency used in England were the British pound, the country's economic relationships would have taken diverse paths.	What type of currency do they use in England?	...
40	If Jeff Conaway had played the role of Kenickie in Grease, the character's charm and style would have had a different essence.	What part did Jeff Conaway play in Grease?	...
41	If Daryl Sabara played Juni Cortez, his adventurous spirit might have brought a new dimension to the Spy Kids series.	Who plays Juni Cortez?	...
42	If Toussaint L'Ouverture had helped free Haiti, his legacy would resonate as a symbol of hope and resilience.	What country did Toussaint L'Ouverture help free?	...
43	If Michael Rosenbaum played Lex Luthor on Smallville, the character's complexity would have been explored from a different angle.	Who plays Lex Luthor on Smallville?	...
44	If Michael J. Fox's wife were Tracy Pollan, their inspiring love story could have taken on new dimensions.	Who is Michael J. Fox's wife?	...
45	If the UN were based in New York City, the city's role as a global hub for diplomacy would have an even greater impact.	Where is the UN based?	...
46	If Marlon Brando had played Stanley Kowalski in the movie "A Streetcar Named Desire," the character's intensity would have been legendary.	Who played Stanley Kowalski in A Streetcar Named Desire movie?	...
47	If Joe Flacco had attended the University of Delaware, his college football legacy would have intertwined with a different institution.	Where did Joe Flacco attend college?	...
48	If the Blackhawks played at the United Center, the arena would be known as a historic battleground for thrilling hockey matches.	Where do the Blackhawks play?	...
49	If King Edward VI had ruled after King Henry VIII died, English history would have witnessed a unique era of leadership and change.	Who ruled after King Henry VIII died?	...
